source,purpose,query_id,seed_id,executed_at_utc,http_status,response_bytes,response_sha256,request_url,error
openalex,index-presence,exact-title,agentdojo-2024,2026-08-21T07:38:57+00:00,200,9279,13c40f7f31be990d320cf1d1a280e9f3e139c2c350ccd88de6f8f3f038c227fe,https://api.openalex.org/works?filter=title.search%3AAgentDojo%3A+A+Dynamic+Environment+to+Evaluate+Prompt+Injection+Attacks+and+Defenses+for+LLM+Agents&per-page=20,
openalex,index-presence,exact-title,agentpoison-2024,2026-08-21T07:38:57+00:00,200,24371,8569f99cf73ec7a4979a9d82c6fe1fe24fd226fdf3446384857853c4b42f67ca,https://api.openalex.org/works?filter=title.search%3AAgentPoison%3A+Red-teaming+LLM+Agents+via+Poisoning+Memory+or+Knowledge+Bases&per-page=20,
openalex,index-presence,exact-title,asb-2024,2026-08-21T07:38:57+00:00,200,17119,346be08c31c6b40ebe2c0ba626db133aac64a26011765113bd5341ab3f8c5095,https://api.openalex.org/works?filter=title.search%3AAgent+Security+Bench+%28ASB%29%3A+Formalizing+and+Benchmarking+Attacks+and+Defenses+in+LLM-based+Agents&per-page=20,
openalex,index-presence,exact-title,injecagent-2024,2026-08-21T07:38:57+00:00,200,25123,5dc1f7c5d87e0e8abbe4c5920e8cbea3b462d2721113661b3e9fc33af3057531,https://api.openalex.org/works?filter=title.search%3AInjecAgent%3A+Benchmarking+Indirect+Prompt+Injections+in+Tool-Integrated+Large+Language+Model+Agents&per-page=20,
openalex,index-presence,exact-title,indirect-prompt-injection-2023,2026-08-21T07:38:57+00:00,200,33670,393e5400a6a251f9c3b7fa51c5ffb8a2d0de8304b3a60e1058011aa26c75c883,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&per-page=20,
openalex,index-presence,exact-title,toolemu-2023,2026-08-21T07:38:57+00:00,200,18311,52fe72fb596870602eb8fcff123474add9d9df005720d2d6bd38ad2f185eb19c,https://api.openalex.org/works?filter=title.search%3AIdentifying+the+Risks+of+LM+Agents+with+an+LM-Emulated+Sandbox&per-page=20,
openalex,query-retrieval,oa-qa-01,agentpoison-2024,2026-08-21T07:39:01+00:00,200,956,19615377fb038e06e408891c5e12552eb41fbb607e84b7bb2cfd7846cc3b8305,https://api.openalex.org/works?filter=title.search%3AAgentPoison%3A+Red-teaming+LLM+Agents+via+Poisoning+Memory+or+Knowledge+Bases&search=%22AI+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-01,agentdojo-2024,2026-08-21T07:39:01+00:00,200,1022,4ea0d4c811d2e056f1324ea1af79d13a529740d3d7affb6114bcbad9234f66c6,https://api.openalex.org/works?filter=title.search%3AAgentDojo%3A+A+Dynamic+Environment+to+Evaluate+Prompt+Injection+Attacks+and+Defenses+for+LLM+Agents&search=%22AI+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-01,injecagent-2024,2026-08-21T07:39:01+00:00,200,1021,d10395b11885b50ad4c817e7b139dc595bce96b3022ed6639bfeb659a31f4392,https://api.openalex.org/works?filter=title.search%3AInjecAgent%3A+Benchmarking+Indirect+Prompt+Injections+in+Tool-Integrated+Large+Language+Model+Agents&search=%22AI+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-01,toolemu-2023,2026-08-21T07:39:01+00:00,200,913,b65e460630d1af4c947dd5685fdab11ba75f887d75c9227caf7a04e0565a9af3,https://api.openalex.org/works?filter=title.search%3AIdentifying+the+Risks+of+LM+Agents+with+an+LM-Emulated+Sandbox&search=%22AI+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-01,indirect-prompt-injection-2023,2026-08-21T07:39:01+00:00,200,17838,d2d60ef6be998026008d09fa92fc817a553b955d65e6bd150cbfd10e311bd55c,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22AI+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-01,asb-2024,2026-08-21T07:39:01+00:00,200,17478,066b34c6377376e842423abc3a43b02c8f577253148ffb02d81c1000fd7a0f19,https://api.openalex.org/works?filter=title.search%3AAgent+Security+Bench+%28ASB%29%3A+Formalizing+and+Benchmarking+Attacks+and+Defenses+in+LLM-based+Agents&search=%22AI+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-02,agentpoison-2024,2026-08-21T07:39:04+00:00,200,959,81f4e40d3e4329367c1f1c9a56ba015ba7018fa6a281896c352c84fac9c2f105,https://api.openalex.org/works?filter=title.search%3AAgentPoison%3A+Red-teaming+LLM+Agents+via+Poisoning+Memory+or+Knowledge+Bases&search=%22LLM+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-02,toolemu-2023,2026-08-21T07:39:04+00:00,200,916,8f095e373a38d931b67021cacf8c0b20077e863fe16d134183839e9be151ce15,https://api.openalex.org/works?filter=title.search%3AIdentifying+the+Risks+of+LM+Agents+with+an+LM-Emulated+Sandbox&search=%22LLM+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-02,agentdojo-2024,2026-08-21T07:39:04+00:00,200,1025,b918aef049f455d563056b09a1c6a9c79b79d37e49a84a0a682df0dd026107eb,https://api.openalex.org/works?filter=title.search%3AAgentDojo%3A+A+Dynamic+Environment+to+Evaluate+Prompt+Injection+Attacks+and+Defenses+for+LLM+Agents&search=%22LLM+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-02,injecagent-2024,2026-08-21T07:39:04+00:00,200,1024,e339023fe8c0a625ea5cdc6e6eb1e58d9c69b91906baffdde5143f5b19ed0709,https://api.openalex.org/works?filter=title.search%3AInjecAgent%3A+Benchmarking+Indirect+Prompt+Injections+in+Tool-Integrated+Large+Language+Model+Agents&search=%22LLM+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
openalex,query-retrieval,oa-qa-02,indirect-prompt-injection-2023,2026-08-21T07:39:04+00:00,200,17261,b7b4d489939479f9cef24be0fe736ca99215b22c984d6a3c589b15aec4391705,https://api.openalex.org/works?filter=title.search%3ANot+what+you%27ve+signed+up+for%3A+Compromising+Real-World+LLM-Integrated+Applications+with+Indirect+Prompt+Injection&search=%22LLM+agent%22+security+attack+vulnerability+threat+poisoning+%22prompt+injection%22&per-page=1,
